id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
11223240,49ers,0,0,0,0,0,0,6,0,1,32,32,32,32,1,1,1
11223223,Panthers,0,0,0,0,0,1,4,0,28,2,1,3,1,30,29,30
11223224,Cowboys,0,0,0,0,0,0,9,0,10,23,23,23,23,10,10,10
11223219,Chiefs,0,0,0,0,0,0,20,0,7,26,26,26,26,7,7,7
11223221,Packers,0,0,0,0,0,0,16,0,16,17,17,17,17,16,16,16
11223220,Lions,0,0,0,0,0,0,15,0,15,18,18,18,18,15,15,15
11223216,Bills,0,0,0,0,0,0,23,0,2,31,31,31,31,2,2,2
11223239,Giants,0,0,0,0,0,0,10,0,12,21,21,21,21,12,12,12
11223232,Patriots,0,0,0,0,0,0,22,0,17,16,16,16,16,17,17,17
11223226,Rams,0,0,0,0,0,0,7,0,18,15,15,15,15,18,18,18
11223211,Ravens,0,0,0,0,0,0,2,0,19,14,14,14,14,19,19,19
11223217,Broncos,0,0,0,0,0,0,18,0,3,30,30,30,30,3,3,3
11223218,Chargers,0,0,0,0,0,0,19,0,6,27,27,27,27,6,6,6
11223227,Bengals,0,0,0,1,0,0,32,0,32,7,5,8,8,25,32,31
11223228,Jaguars,0,0,0,0,0,0,24,0,13,20,20,20,20,13,13,13
11223229,Titans,0,0,0,0,0,0,25,0,23,10,10,10,10,23,23,23
11223230,Colts,0,0,0,0,0,0,27,0,8,25,25,25,25,8,8,8
11223231,Dolphins,0,0,0,1,0,0,29,0,30,6,2,7,4,26,28,26
11223233,Raiders,0,0,0,1,0,0,31,0,29,8,4,6,6,27,31,28
11223236,Saints,0,0,0,0,0,0,13,0,20,13,13,13,13,20,20,20
11223237,Buccaneers,0,0,0,0,0,0,14,0,4,29,29,29,29,4,4,4
11223242,Cardinals,0,0,0,0,0,0,8,0,5,28,28,28,28,5,5,5
11223238,Eagles,0,0,0,0,0,1,1,0,26,1,8,1,2,28,25,25
11223241,Seahawks,0,0,0,0,0,1,3,0,25,4,6,2,5,29,27,27
11223212,Steelers,0,0,0,0,0,0,28,0,21,12,12,12,12,21,21,21
11223213,Browns,0,0,0,1,0,0,30,0,31,5,3,4,3,32,30,32
11223214,Texans,0,0,0,0,0,0,26,0,22,11,11,11,11,22,22,22
11223234,Bears,0,0,0,0,0,1,5,0,27,3,7,5,7,31,26,29
11223225,Commanders,0,0,0,0,0,0,11,0,9,24,24,24,24,9,9,9
11223215,Jets,0,0,0,0,0,0,21,0,14,19,19,19,19,14,14,14
11223222,Vikings,0,0,0,0,0,0,17,0,24,9,9,9,9,24,24,24
11223235,Falcons,0,0,0,0,0,0,12,0,11,22,22,22,22,11,11,11
11233476,Raiders,0,0,3,3,0,0,31,0,18,32,31,26,32,2,31,14
11233468,Commanders,0,0,3,2,0,1,25,0,26,25,7,24,17,25,18,27
11233470,Bengals,0,0,3,2,0,1,28,0,20,30,30,29,31,3,32,29
11233477,Bears,0,0,3,1,0,2,15,0,6,19,32,11,30,22,13,18
11233458,Jets,0,0,3,2,0,1,19,0,31,5,6,15,8,32,23,32
11233474,Dolphins,0,0,3,3,0,0,32,0,27,24,9,21,15,18,25,23
11233483,49ers,0,0,3,1,0,2,11,0,8,7,20,5,11,20,11,11
11233471,Jaguars,0,0,3,0,0,3,1,0,1,16,18,19,19,6,1,2
11233463,Lions,0,0,3,1,0,2,6,0,28,8,4,20,6,26,30,31
11233473,Colts,0,0,3,1,0,2,8,0,11,27,29,6,26,7,6,5
11233472,Titans,0,0,3,2,0,1,23,0,23,20,27,22,28,16,22,20
11233467,Cowboys,0,0,3,1,0,2,7,0,5,28,8,28,25,5,17,6
11233466,Panthers,0,0,3,0,0,3,3,0,12,2,5,9,3,11,27,10
11233464,Packers,0,0,3,2,0,1,17,0,21,15,19,14,16,12,24,12
11233469,Rams,0,0,3,0,0,3,2,0,3,14,24,4,18,24,7,16
11233482,Giants,0,0,3,1,1,1,16,0,30,4,1,30,1,31,15,30
11233475,Patriots,0,0,3,2,0,1,18,0,22,9,2,32,2,28,2,21
11233487,Browns,0,0,3,3,0,0,30,0,25,22,10,17,12,10,29,22
11233486,Steelers,0,0,3,2,0,1,20,0,13,31,23,27,29,21,12,15
11233456,Ravens,0,0,3,1,0,2,5,0,2,10,26,10,27,4,8,3
11233459,Bills,0,0,3,2,1,0,29,0,16,29,15,23,21,17,20,17
11233484,Seahawks,0,0,3,1,0,2,14,0,7,13,28,3,23,9,26,9
11233465,Vikings,0,0,3,2,0,1,27,0,29,26,12,25,22,19,28,24
11233481,Eagles,0,0,3,0,0,3,4,0,14,3,25,1,5,8,5,4
11233460,Broncos,0,0,3,2,0,1,26,0,32,17,21,12,20,29,9,25
11233462,Chiefs,0,0,3,1,0,2,12,0,10,11,22,13,24,13,10,8
11233485,Cardinals,0,0,3,1,0,2,10,0,9,6,14,16,13,1,16,1
11233480,Buccaneers,0,0,3,1,0,2,13,0,4,18,11,7,9,15,3,7
11233478,Falcons,0,0,3,2,0,1,21,0,17,12,16,8,10,23,14,19
11233461,Chargers,0,0,3,2,0,1,24,0,24,21,13,18,14,27,19,28
11233457,Texans,0,0,3,1,0,2,9,0,19,1,17,2,4,30,4,26
11233479,Saints,0,0,3,2,0,1,22,0,15,23,3,31,7,14,21,13
11237134,Eagles,0,1,0,0,0,1,5,0,20,7,12,1,1,22,26,26
11237135,Giants,0,1,0,0,0,1,3,0,23,3,1,18,4,23,24,24
11237136,49ers,0,1,0,1,0,0,15,0,15,21,20,14,20,15,12,11
11237130,Bears,0,1,0,1,0,0,14,0,18,18,17,19,21,25,17,18
11237122,Rams,0,1,0,0,0,0,23,0,7,26,26,26,26,7,7,7
11237109,Ravens,0,1,0,1,0,0,12,0,28,6,4,20,10,31,18,30
11237113,Broncos,0,1,0,0,0,0,27,0,1,32,32,32,32,1,1,1
11237114,Chargers,0,1,0,0,0,1,4,0,22,4,15,10,14,30,11,17
11237123,Bengals,0,1,0,1,0,0,13,0,25,9,13,3,8,26,22,27
11237121,Commanders,0,1,0,1,0,0,19,0,30,10,10,9,9,32,15,29
11237124,Jaguars,0,1,0,0,0,0,29,0,4,29,29,29,29,4,4,4
11237125,Titans,0,1,0,0,0,0,30,0,10,23,23,23,23,10,10,10
11237126,Colts,0,1,0,0,0,1,1,0,21,2,5,6,2,12,28,16
11237131,Falcons,0,1,0,0,0,0,25,0,3,30,30,30,30,3,3,3
11237127,Dolphins,0,1,0,1,0,0,21,0,31,12,21,5,17,28,27,31
11237129,Raiders,0,1,0,1,0,0,16,0,19,20,22,2,11,14,21,14
11237111,Jets,0,1,0,0,0,0,28,0,5,28,28,28,28,5,5,5
11237132,Saints,0,1,0,1,0,0,22,0,32,19,6,17,12,24,29,28
11237133,Buccaneers,0,1,0,0,0,0,26,0,2,31,31,31,31,2,2,2
11237137,Cardinals,0,1,0,0,0,1,7,0,14,1,9,4,5,27,16,21
11237112,Bills,0,1,0,0,0,1,10,0,26,5,2,15,3,29,13,23
11237138,Seahawks,0,1,0,0,0,1,6,0,12,17,18,21,22,13,19,13
11237118,Vikings,0,1,0,0,0,1,9,0,16,14,8,16,15,16,14,12
11237139,Steelers,0,1,0,0,0,0,32,0,8,25,25,25,25,8,8,8
11237140,Browns,0,1,0,0,0,1,11,0,24,8,7,11,6,20,30,25
11237128,Patriots,0,1,0,0,0,1,8,0,13,15,19,12,19,11,31,22
11237119,Panthers,0,1,0,0,0,0,24,0,6,27,27,27,27,6,6,6
11237120,Cowboys,0,1,0,1,0,0,17,0,27,13,11,7,7,21,32,32
11237115,Chiefs,0,1,0,1,0,0,18,0,29,11,3,22,16,18,23,19
11237110,Texans,0,1,0,0,0,0,31,0,9,24,24,24,24,9,9,9
11237117,Packers,0,1,0,1,0,0,20,0,17,22,16,13,18,19,25,20
11237116,Lions,0,1,0,0,0,1,2,0,11,16,14,8,13,17,20,15
11250606,Browns,0,1,1,1,0,1,17,11,13,21,10,20,15,15,28,22
11250590,Rams,0,1,1,1,0,1,23,23,10,17,17,7,11,23,12,13
11250607,Texans,0,1,1,1,0,1,22,31,24,11,5,14,9,26,27,30
11250581,Patriots,0,1,1,0,0,2,4,8,2,19,16,17,20,11,30,19
11250603,Eagles,0,1,1,0,0,2,7,5,7,10,15,3,4,18,23,21
11250610,Jets,0,1,1,1,0,1,13,28,23,14,25,4,17,31,5,27
11250592,Broncos,0,1,1,1,0,1,19,27,15,25,20,25,23,8,14,8
11250591,Ravens,0,1,1,1,0,1,12,12,14,16,11,16,13,29,8,25
11250582,Panthers,0,1,1,2,0,0,25,24,21,29,13,10,10,12,32,23
11250600,Saints,0,1,1,1,0,0,30,22,31,28,24,30,29,6,11,6
11250604,Seahawks,0,1,1,1,0,1,16,6,12,23,23,15,22,21,13,14
11250609,Commanders,0,1,1,2,0,0,27,19,32,20,12,12,12,32,17,32
11250602,Cardinals,0,1,1,0,0,2,2,7,4,1,14,2,1,27,10,24
11250589,49ers,0,1,1,1,0,0,32,15,3,32,31,28,31,1,1,1
11250596,Titans,0,1,1,2,0,0,29,30,18,31,29,24,28,9,15,10
11250584,Chiefs,0,1,1,2,0,0,26,18,26,26,9,26,18,20,26,26
11250608,Bears,0,1,1,1,0,1,10,14,8,15,18,18,21,28,4,17
11250595,Jaguars,0,1,1,0,0,1,9,29,1,30,32,31,32,3,9,3
11250587,Bills,0,1,1,0,0,2,1,10,19,7,1,19,3,16,18,12
11250597,Colts,0,1,1,0,0,2,3,1,6,4,4,5,2,10,22,11
11250585,Packers,0,1,1,1,0,1,15,20,9,13,7,8,7,17,20,15
11250583,Cowboys,0,1,1,1,0,0,28,17,27,18,28,23,26,4,24,9
11250605,Steelers,0,1,1,1,0,1,21,32,22,8,3,27,14,13,29,18
11250593,Chargers,0,1,1,1,0,1,18,4,30,5,8,11,8,25,25,28
11250598,Dolphins,0,1,1,2,0,0,24,21,28,24,22,6,19,30,21,29
11250612,Falcons,0,1,1,0,0,1,5,25,20,3,27,13,24,14,3,7
11250594,Bengals,0,1,1,1,0,0,31,13,25,12,30,21,27,7,6,5
11250611,Vikings,0,1,1,0,0,1,6,9,5,22,26,29,30,2,2,2
11250601,Buccaneers,0,1,1,1,0,1,20,26,29,9,2,9,5,24,31,31
11250599,Raiders,0,1,1,1,0,1,11,16,17,6,21,1,6,22,16,20
11250586,Lions,0,1,1,1,0,1,14,2,11,27,6,22,16,19,19,16
11250588,Giants,0,1,1,0,0,1,8,3,16,2,19,32,25,5,7,4
11257847,Cowboys,0,1,2,2,0,0,26,28,29,21,18,16,19,25,28,31
11257864,Saints,0,1,2,2,0,0,30,30,31,12,3,28,14,31,27,32
11257856,Broncos,0,1,2,1,0,1,20,19,15,27,26,30,31,1,10,1
11257865,Buccaneers,0,1,2,1,0,1,22,20,28,8,4,10,6,21,31,29
11257874,Jets,0,1,2,1,0,1,12,13,24,14,31,4,24,30,3,24
11257848,Chiefs,0,1,2,2,0,0,28,26,26,28,11,31,25,13,24,23
11257866,Cardinals,0,1,2,0,0,2,5,2,2,1,21,2,1,24,5,21
11257872,Bears,0,1,2,1,0,1,8,10,6,18,25,21,28,26,1,11
11257850,Lions,0,1,2,1,0,1,16,14,10,29,8,26,22,12,17,10
11257867,Eagles,0,1,2,0,0,2,7,7,4,10,22,3,4,11,22,16
11257855,Ravens,0,1,2,1,0,1,10,12,14,19,17,19,18,27,4,22
11257876,Falcons,0,1,2,1,0,1,11,5,23,9,13,5,8,29,9,25
11257868,Seahawks,0,1,2,1,0,1,13,16,11,25,30,18,29,14,8,8
11257871,Texans,0,1,2,1,0,1,23,22,25,11,7,17,12,23,25,28
11257869,Steelers,0,1,2,1,0,1,21,21,22,7,5,32,20,6,29,12
11257854,Rams,0,1,2,1,0,1,24,23,8,20,24,8,16,17,7,7
11257849,Packers,0,1,2,1,0,1,17,15,7,13,9,9,9,9,18,9
11257845,Patriots,0,1,2,0,0,2,4,4,1,22,23,20,27,4,30,14
11257870,Browns,0,1,2,1,0,1,14,17,12,24,14,23,21,7,26,19
11257853,49ers,0,1,2,1,0,1,18,32,20,17,12,12,10,19,2,4
11257851,Bills,0,1,2,0,0,2,2,1,19,6,2,22,3,8,16,6
11257846,Panthers,0,1,2,2,0,0,29,25,21,31,20,13,15,5,32,20
11257875,Vikings,0,1,2,0,0,2,1,6,9,15,15,24,23,10,6,5
11257859,Jaguars,0,1,2,1,0,1,25,9,5,30,28,25,30,15,20,17
11257860,Titans,0,1,2,2,0,0,32,29,18,32,32,29,32,2,13,2
11257873,Commanders,0,1,2,2,0,0,31,27,32,23,19,15,17,32,15,30
11257861,Colts,0,1,2,0,0,2,3,3,3,2,6,6,2,3,21,3
11257858,Bengals,0,1,2,1,0,1,15,31,13,16,16,11,13,20,12,18
11257862,Dolphins,0,1,2,2,0,0,27,24,27,26,29,7,26,28,19,27
11257857,Chargers,0,1,2,1,0,1,19,18,30,4,10,14,11,22,23,26
11257852,Giants,0,1,2,0,0,2,6,8,16,3,1,27,5,18,11,13
11257863,Raiders,0,1,2,1,0,1,9,11,17,5,27,1,7,16,14,15
