team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,fGTotalAtt,fGTotal50PlusAtt,fGTotal50PlusMade,fGTotalLongest,fGTotalMade,fGAvgCompPct,kickoffTotalAtt,kickoffTotalTBs,xPTotalAtt,xPTotalMade,xPAvgCompPct
49ers,SF,14,,K,553388104,Eddy Pineiro,7,0,9024,18,1,8.00,2,1,1,51,2,100.00,0,0,5,5,100.00
49ers,SF,14,,P,553387862,Thomas Morstead,16,0,2184,7,1,0.00,0,0,0,0,0,0.00,8,6,0,0,0.00
Bears,CHI,0,,P,553388585,Tory Taylor,1,0,10262,19,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Bears,CHI,0,,K,553388325,Cairo Santos,11,0,6576,8,1,8.00,3,1,1,55,2,66.67,0,0,1,1,100.00
Bengals,CIN,1,,K,553387767,Evan McPherson,4,0,1601,2,1,6.00,2,0,0,49,2,100.00,5,0,2,2,100.00
Bills,BUF,2,,K,553386148,Tyler Bass,5,0,85,2,1,0.00,0,0,0,0,0,0.00,0,0,2,2,100.00
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0.00,0,0,0,0,0,0.00,3,0,0,0,0.00
Broncos,DEN,3,,K,553387628,Wil Lutz,9,0,8374,3,1,3.00,1,0,0,32,1,100.00,4,0,2,2,100.00
Browns,CLE,4,,K,553387827,Andre Szmyt,0,0,0,25,1,8.00,2,1,1,54,2,100.00,0,0,1,1,100.00
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Buccaneers,TB,5,,K,553387748,Chase McLaughlin,6,0,455,4,1,8.00,3,2,1,58,2,66.67,7,0,4,4,100.00
Cardinals,ARI,6,,K,553388304,Chad Ryland,2,0,2379,38,1,3.00,1,0,0,39,1,100.00,7,0,5,5,100.00
Chargers,LAC,7,,K,553386635,Cameron Dicker,3,0,1359,11,1,3.00,1,0,0,37,1,100.00,4,1,2,1,50.00
Chiefs,KC,8,,K,553386370,Harrison Butker,8,0,8498,7,1,6.00,2,0,0,44,2,100.00,8,0,5,5,100.00
Colts,IND,9,,K,553388385,Spencer Shrader,1,0,10964,3,1,6.00,2,0,0,41,2,100.00,7,1,4,4,100.00
Commanders,WAS,25,,K,553388128,Matt Prater,18,0,2449,15,1,0.00,1,1,0,0,0,0.00,5,0,4,4,100.00
Cowboys,DAL,10,,K,553386084,Brandon Aubrey,3,0,10362,17,1,14.00,5,2,1,50,4,80.00,7,2,2,2,100.00
Dolphins,MIA,11,,K,553388050,Riley Patterson,4,0,2110,47,1,11.00,3,1,1,52,3,100.00,0,0,3,3,100.00
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0.00,0,0,0,0,0,0.00,7,0,0,0,0.00
Eagles,PHI,12,,K,553386730,Jake Elliott,8,0,8542,4,1,6.00,2,0,0,45,2,100.00,8,0,5,5,100.00
Falcons,ATL,13,,K,553388319,Jason Sanders,7,0,9349,6,1,8.00,2,1,1,51,2,100.00,0,0,5,5,100.00
Falcons,ATL,13,,P,553388105,Bradley Pinion,10,0,7281,13,1,0.00,0,0,0,0,0,0.00,8,0,0,0,0.00
Giants,NYG,15,,K,553386880,Graham Gano,16,0,1203,9,1,3.00,1,0,0,27,1,100.00,2,0,0,0,0.00
Jaguars,JAX,16,,K,553387587,Cam Little,1,0,10159,39,1,3.00,1,0,0,40,1,100.00,0,0,1,1,100.00
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0.00,0,0,0,0,0,0.00,3,2,0,0,0.00
Jets,NYJ,17,,K,553386819,Nick Folk,17,0,1128,6,1,9.00,4,0,0,46,3,75.00,6,0,1,1,100.00
Lions,DET,18,,K,553386154,Jake Bates,2,0,10871,39,1,9.00,3,0,0,43,3,100.00,0,0,1,1,100.00
Lions,DET,18,,P,553386841,Jack Fox,7,0,9460,3,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Packers,GB,19,,K,553387755,Brandon McManus,12,0,7240,17,1,3.00,1,0,0,40,1,100.00,5,0,3,3,100.00
Panthers,CAR,20,,K,553386806,Ryan Fitzgerald,0,0,10554,10,1,0.00,0,0,0,0,0,0.00,5,0,4,4,100.00
Patriots,NE,21,,K,553386240,Andres Borregales,0,0,10793,36,1,3.00,1,0,0,35,1,100.00,0,0,3,3,100.00
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,0.00,0,0,0,0,0,0.00,8,0,0,0,0.00
Raiders,LV,22,,K,553386406,Daniel Carlson,7,0,8838,8,1,12.00,4,0,0,42,4,100.00,0,0,3,3,100.00
Rams,LAR,23,,K,553387445,Joshua Karty,1,0,10138,16,1,3.00,2,0,0,20,1,50.00,0,0,1,1,100.00
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,0.00,0,0,0,0,0,0.00,3,0,0,0,0.00
Ravens,BAL,24,,K,553387607,Tyler Loop,0,0,10638,33,1,3.00,1,0,0,21,1,100.00,5,0,2,2,100.00
Saints,NO,26,,K,553389002,Cade York,3,0,2063,16,1,0.00,0,0,0,0,0,0.00,1,0,3,3,100.00
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0.00,0,0,0,0,0,0.00,4,0,0,0,0.00
Seahawks,SEA,27,,K,553387904,Jason Myers,10,0,7773,5,1,0.00,0,0,0,0,0,0.00,0,0,3,3,100.00
Steelers,PIT,28,,K,553386244,Chris Boswell,11,0,6353,9,1,5.00,1,1,1,55,1,100.00,5,0,3,3,100.00
Texans,HOU,31,,K,553386770,Ka'imi Fairbairn,9,0,8000,15,1,9.00,3,0,0,49,3,100.00,8,1,4,4,100.00
Titans,TEN,29,,K,553388419,Joey Slye,6,0,577,6,1,3.00,1,0,0,28,1,100.00,4,0,2,2,100.00
Vikings,MIN,30,,K,553388193,Will Reichard,1,0,10224,16,1,0.00,1,1,0,0,0,0.00,3,0,2,2,100.00
